variable_names,cell_methods,dimensions,branded_label-spreadsheet,branded_label-following_appendixF-from_last_year,matching
hfls,area: time: mean where ice_sheet,longitude latitude time,hfls_tavg-z0-hxy-is,hfls_tavg-u-hxy-is,False
hfls,area: time: mean,longitude latitude time,hfls_tavg-z0-hxy-x,hfls_tavg-u-hxy-u,False
hfls,area: mean time: point,longitude latitude time1,hfls_tpt-z0-hxy-x,hfls_tpt-u-hxy-u,False
hfls,area: point time: point,site time1,hfls_tpt-z0-hxys-x,hfls_tpt-u-hxys-u,False
hfls,area: time: mean where ice_sheet,longitude latitude time,hfls_tavg-z0-hxy-is,hfls_tavg-u-hxy-is,False
hfls,area: time: mean where sector,longitude latitude landUse time,hfls_tavg-z0-hxy-lus,hfls_tavg-u-hxy-lus,False
hfls,area: time: mean where sea_ice,longitude latitude time,hfls_tavg-z0-hxy-si,hfls_tavg-u-hxy-si,False
hfsbl,area: mean where land time: mean,longitude latitude time,hfsbl_tavg-z0-hxy-lnd,hfsbl_tavg-u-hxy-lnd,False
rhc13,area: mean where land time: mean,longitude latitude time,rhc13_tavg-z0-hxy-lnd,rhc13_tavg-u-hxy-lnd,False
rac13,area: mean where land time: mean,longitude latitude time,rac13_tavg-z0-hxy-lnd,rac13_tavg-u-hxy-lnd,False
rhc14,area: mean where land time: mean,longitude latitude time,rhc14_tavg-z0-hxy-lnd,rhc14_tavg-u-hxy-lnd,False
rac14,area: mean where land time: mean,longitude latitude time,rac14_tavg-z0-hxy-lnd,rac14_tavg-u-hxy-lnd,False
fLulccAtm,area: time: mean where sector,longitude latitude landUse time,fLulccAtm_tavg-z0-hxy-lus,fLulccAtm_tavg-u-hxy-lus,False
fHarvest,area: mean where land time: mean,longitude latitude time,fHarvest_tavg-z0-hxy-lnd,fHarvest_tavg-u-hxy-lnd,False
fHarvestToAtmos,area: mean where land time: mean,longitude latitude time,fHarvestToAtmos_tavg-z0-hxy-lnd,fHarvestToAtmos_tavg-u-hxy-lnd,False
cTotFire,area: time: mean where sector,longitude latitude landUse time,cTotFire_tavg-z0-hxy-lus,cTotFire_tavg-u-hxy-lus,False
cTotFire,area: mean where land time: mean,longitude latitude time,cTotFire_tavg-z0-hxy-lnd,cTotFire_tavg-u-hxy-lnd,False
fFire,area: mean where land time: mean,longitude latitude time,fFire_tavg-z0-hxy-lnd,fFire_tavg-u-hxy-lnd,False
fGrazing,area: mean where land time: mean,longitude latitude time,fGrazing_tavg-z0-hxy-lnd,fGrazing_tavg-u-hxy-lnd,False
fLitterFire,area: mean where land time: mean,longitude latitude time,fLitterFire_tavg-z0-hxy-lnd,fLitterFire_tavg-u-hxy-lnd,False
fFireNat,area: mean where land time: mean,longitude latitude time,fFireNat_tavg-z0-hxy-lnd,fFireNat_tavg-u-hxy-lnd,False
fco2nat,area: time: mean,longitude latitude time,fco2nat_tavg-z0-hxy-x,fco2nat_tavg-u-hxy-u,False
fco2nat,area: point time: point,site time1,fco2nat_tpt-z0-hxys-x,fco2nat_tpt-u-hxys-u,False
fVegFire,area: mean where land time: mean,longitude latitude time,fVegFire_tavg-z0-hxy-lnd,fVegFire_tavg-u-hxy-lnd,False
fresph,area: mean where land time: mean,longitude latitude time,fresph_tavg-z0-hxy-lnd,fresph_tavg-u-hxy-lnd,False
fresph,area: mean where land time: mean,longitude latitude time,fresph_tavg-z0-hxy-lnd,fresph_tavg-u-hxy-lnd,False
fresph,area: time: mean where natural_grasses,longitude latitude time,fresph_tavg-z0-hxy-ng,fresph_tavg-u-hxy-ng,False
fresph,area: time: mean where sector,longitude latitude landUse time,fresph_tavg-z0-hxy-lus,fresph_tavg-u-hxy-lus,False
fresph,area: time: mean where shrubs,longitude latitude time,fresph_tavg-z0-hxy-shb,fresph_tavg-u-hxy-shb,False
fresph,area: time: mean where trees,longitude latitude time,fresph_tavg-z0-hxy-tree,fresph_tavg-u-hxy-tree,False
frespa,area: mean where land time: mean,longitude latitude time,frespa_tavg-z0-hxy-lnd,frespa_tavg-u-hxy-lnd,False
frespa,area: mean where land time: mean,longitude latitude time,frespa_tavg-z0-hxy-lnd,frespa_tavg-u-hxy-lnd,False
frespa,area: time: mean where natural_grasses,longitude latitude time,frespa_tavg-z0-hxy-ng,frespa_tavg-u-hxy-ng,False
frespa,area: time: mean where sector,longitude latitude landUse time,frespa_tavg-z0-hxy-lus,frespa_tavg-u-hxy-lus,False
frespa,area: time: mean where shrubs,longitude latitude time,frespa_tavg-z0-hxy-shb,frespa_tavg-u-hxy-shb,False
frespa,area: time: mean where trees,longitude latitude time,frespa_tavg-z0-hxy-tree,frespa_tavg-u-hxy-tree,False
rGrowth,area: mean where land time: mean,longitude latitude time,rGrowth_tavg-z0-hxy-lnd,rGrowth_tavg-u-hxy-lnd,False
rMaint,area: mean where land time: mean,longitude latitude time,rMaint_tavg-z0-hxy-lnd,rMaint_tavg-u-hxy-lnd,False
raLeaf,area: mean where land time: mean,longitude latitude time,raLeaf_tavg-z0-hxy-lnd,raLeaf_tavg-u-hxy-lnd,False
raOther,area: mean where land time: mean,longitude latitude time,raOther_tavg-z0-hxy-lnd,raOther_tavg-u-hxy-lnd,False
raRoot,area: mean where land time: mean,longitude latitude time,raRoot_tavg-z0-hxy-lnd,raRoot_tavg-u-hxy-lnd,False
raStem,area: mean where land time: mean,longitude latitude time,raStem_tavg-z0-hxy-lnd,raStem_tavg-u-hxy-lnd,False
hrlitter,area: mean where land time: mean,longitude latitude time,hrlitter_tavg-z0-hxy-lnd,hrlitter_tavg-u-hxy-lnd,False
hrsoil,area: mean where land time: mean,longitude latitude time,hrsoil_tavg-z0-hxy-lnd,hrsoil_tavg-u-hxy-lnd,False
fCH4prod,area: time: mean where wetland,longitude latitude time,fCH4prod_tavg-z0-hxy-wl,fCH4prod_tavg-u-hxy-wl,False
fNgas,area: mean where land time: mean,longitude latitude time,fNgas_tavg-z0-hxy-lnd,fNgas_tavg-u-hxy-lnd,False
fNgasNonFire,area: mean where land time: mean,longitude latitude time,fNgasNonFire_tavg-z0-hxy-lnd,fNgasNonFire_tavg-u-hxy-lnd,False
fNgasFire,area: mean where land time: mean,longitude latitude time,fNgasFire_tavg-z0-hxy-lnd,fNgasFire_tavg-u-hxy-lnd,False
fNloss,area: mean where land time: mean,longitude latitude time,fNloss_tavg-z0-hxy-lnd,fNloss_tavg-u-hxy-lnd,False
fN2O,area: mean where land time: mean,longitude latitude time,fN2O_tavg-z0-hxy-lnd,fN2O_tavg-u-hxy-lnd,False
fNOx,area: mean where land time: mean,longitude latitude time,fNOx_tavg-z0-hxy-lnd,fNOx_tavg-u-hxy-lnd,False
fgdms,area: mean where sea time: mean,longitude latitude time,fgdms_tavg-z0-hxy-sea,fgdms_tavg-u-hxy-sea,False
hfss,area: time: mean,longitude latitude time,hfss_tavg-z0-hxy-x,hfss_tavg-u-hxy-u,False
hfss,area: mean time: point,longitude latitude time1,hfss_tpt-z0-hxy-x,hfss_tpt-u-hxy-u,False
hfss,area: mean where land time: mean,longitude latitude time,hfss_tavg-z0-hxy-lnd,hfss_tavg-u-hxy-lnd,False
hfss,area: time: mean,longitude latitude time,hfss_tavg-z0-hxy-x,hfss_tavg-u-hxy-u,False
hfss,area: time: mean where ice_sheet,longitude latitude time,hfss_tavg-z0-hxy-is,hfss_tavg-u-hxy-is,False
hfss,area: time: mean where ice_sheet,longitude latitude time,hfss_tavg-z0-hxy-is,hfss_tavg-u-hxy-is,False
hfss,area: time: mean,longitude latitude time,hfss_tavg-z0-hxy-x,hfss_tavg-u-hxy-u,False
hfss,area: mean time: point,longitude latitude time1,hfss_tpt-z0-hxy-x,hfss_tpt-u-hxy-u,False
hfss,area: point time: point,site time1,hfss_tpt-z0-hxys-x,hfss_tpt-u-hxys-u,False
hfss,area: time: mean where ice_sheet,longitude latitude time,hfss_tavg-z0-hxy-is,hfss_tavg-u-hxy-is,False
hfss,area: time: mean where sector,longitude latitude landUse time,hfss_tavg-z0-hxy-lus,hfss_tavg-u-hxy-lus,False
hfss,area: time: mean where sea_ice,longitude latitude time,hfss_tavg-z0-hxy-si,hfss_tavg-u-hxy-si,False
rlus,area: time: mean,longitude latitude time,rlus_tavg-z0-hxy-x,rlus_tavg-u-hxy-u,False
rlus,area: mean time: point,longitude latitude time1,rlus_tpt-z0-hxy-x,rlus_tpt-u-hxy-u,False
rlus,area: time: mean,longitude latitude time,rlus_tavg-z0-hxy-x,rlus_tavg-u-hxy-u,False
rlus,area: time: mean where ice_sheet,longitude latitude time,rlus_tavg-z0-hxy-is,rlus_tavg-u-hxy-is,False
rlus,area: time: mean where ice_sheet,longitude latitude time,rlus_tavg-z0-hxy-is,rlus_tavg-u-hxy-is,False
rlus,area: time: mean,longitude latitude time,rlus_tavg-z0-hxy-x,rlus_tavg-u-hxy-u,False
rlus,area: point time: point,site time1,rlus_tpt-z0-hxys-x,rlus_tpt-u-hxys-u,False
rlus,area: time: mean where ice_sheet,longitude latitude time,rlus_tavg-z0-hxy-is,rlus_tavg-u-hxy-is,False
rlus,area: time: mean where sector,longitude latitude landUse time,rlus_tavg-z0-hxy-lus,rlus_tavg-u-hxy-lus,False
rlus,area: time: mean where sea_ice,longitude latitude time,rlus_tavg-z0-hxy-si,rlus_tavg-u-hxy-si,False
rsus,area: time: mean,longitude latitude time,rsus_tavg-z0-hxy-x,rsus_tavg-u-hxy-u,False
rsus,area: mean time: point,longitude latitude time1,rsus_tpt-z0-hxy-x,rsus_tpt-u-hxy-u,False
rsus,area: time: mean,longitude latitude time,rsus_tavg-z0-hxy-x,rsus_tavg-u-hxy-u,False
rsus,area: time: mean where ice_sheet,longitude latitude time,rsus_tavg-z0-hxy-is,rsus_tavg-u-hxy-is,False
rsus,area: time: mean where ice_sheet,longitude latitude time,rsus_tavg-z0-hxy-is,rsus_tavg-u-hxy-is,False
rsus,area: time: mean,longitude latitude time,rsus_tavg-z0-hxy-x,rsus_tavg-u-hxy-u,False
rsus,area: point time: point,site time1,rsus_tpt-z0-hxys-x,rsus_tpt-u-hxys-u,False
rsus,area: time: mean where ice_sheet,longitude latitude time,rsus_tavg-z0-hxy-is,rsus_tavg-u-hxy-is,False
rsus,area: time: mean where sector,longitude latitude landUse time,rsus_tavg-z0-hxy-lus,rsus_tavg-u-hxy-lus,False
rsus,area: time: mean where sea_ice,longitude latitude time,rsus_tavg-z0-hxy-si,rsus_tavg-u-hxy-si,False
rsuscs,area: time: mean,longitude latitude time,rsuscs_tavg-z0-hxy-x,rsuscs_tavg-u-hxy-u,False
rsuscs,area: mean time: point,longitude latitude time1,rsuscs_tpt-z0-hxy-x,rsuscs_tpt-u-hxy-u,False
rsuscs,area: time: mean,longitude latitude time,rsuscs_tavg-z0-hxy-x,rsuscs_tavg-u-hxy-u,False
rsuscs,area: time: mean,longitude latitude time,rsuscs_tavg-z0-hxy-x,rsuscs_tavg-u-hxy-u,False
rsuscs,area: point time: point,site time1,rsuscs_tpt-z0-hxys-x,rsuscs_tpt-u-hxys-u,False
rsuscsbnd,area: mean time: point,longitude latitude spectband time1,rsuscsbnd_tpt-z0-hxy-x,rsuscsbnd_tpt-u-hxy-u,False
rsuscsaf,area: mean time: point,longitude latitude time1,rsuscsaf_tpt-z0-hxy-x,rsuscsaf_tpt-u-hxy-u,False
rsuscsafbnd,area: mean time: point,longitude latitude spectband time1,rsuscsafbnd_tpt-z0-hxy-x,rsuscsafbnd_tpt-u-hxy-u,False
eow,area: mean where land time: mean,longitude latitude time,eow_tavg-z0-hxy-lnd,eow_tavg-u-hxy-lnd,False
tistop,area: time: mean where ice_sheet,longitude latitude time,tistop_tavg-z0-hxy-is,tistop_tavg-u-hxy-is,False
tistop,area: time: mean where ice_sheet,longitude latitude time,tistop_tavg-z0-hxy-is,tistop_tavg-u-hxy-is,False
tistop,area: time: mean where ice_sheet,longitude latitude time,tistop_tavg-z0-hxy-is,tistop_tavg-u-hxy-is,False
tistop,area: time: mean where ice_sheet,longitude latitude time,tistop_tavg-z0-hxy-is,tistop_tavg-u-hxy-is,False
tistop,area: time: mean where ice_sheet,longitude latitude time,tistop_tavg-z0-hxy-is,tistop_tavg-u-hxy-is,False
hfevapds,area: time: mean where ice_free_sea over sea ,longitude latitude time,hfevapds_tavg-z0-hxy-ifs,hfevapds_tavg-u-hxy-ifs,False
hfrainds,area: time: mean where ice_free_sea over sea ,longitude latitude time,hfrainds_tavg-z0-hxy-ifs,hfrainds_tavg-u-hxy-ifs,False
hfrunoffds,area: mean where sea time: mean,longitude latitude olevel time,hfrunoffds_tavg-l-hxy-sea,hfrunoffds_tavg-l-hxy-sea,True
hfrunoffds,area: mean where sea time: mean,longitude latitude time,hfrunoffds_tavg-z0-hxy-sea,hfrunoffds_tavg-u-hxy-sea,False
tsnld,area: time: mean where snow (on land or land_ice with samples weighted by snow mass),longitude latitude time,tsnld_tavg-z0-hxy-sn,tsnld_tavg-u-hxy-sn,False
tsnld,area: time: mean where snow (on land or land_ice with samples weighted by snow mass),longitude latitude time,tsnld_tavg-z0-hxy-sn,tsnld_tavg-u-hxy-sn,False
tsnis,"area: time: mean where snow (on ice_sheet, with samples weighted by snow mass)",longitude latitude time,tsnis_tavg-z0-hxy-sn,tsnis_tavg-u-hxy-sn,False
tsnis,"area: time: mean where snow (on ice_sheet, with samples weighted by snow mass)",longitude latitude time,tsnis_tavg-z0-hxy-sn,tsnis_tavg-u-hxy-sn,False
tsnis,"area: time: mean where snow (on ice_sheet, with samples weighted by snow mass)",longitude latitude time,tsnis_tavg-z0-hxy-sn,tsnis_tavg-u-hxy-sn,False
tnt,area: time: mean,longitude latitude alevel time,tnt_tavg-l-hxy-x,tnt_tavg-l-hxy-u,False
tnt,area: mean time: point,longitude latitude alevel time1,tnt_tpt-l-hxy-x,tnt_tpt-l-hxy-u,False
tnt,area: point time: point,alevel site time1,tnt_tpt-l-hxys-x,tnt_tpt-l-hxys-u,False
tnta,area: time: mean,longitude latitude alevel time,tnta_tavg-l-hxy-x,tnta_tavg-l-hxy-u,False
tnta,area: point time: point,alevel site time1,tnta_tpt-l-hxys-x,tnta_tpt-l-hxys-u,False
tntpbl,area: time: mean,longitude latitude alevel time,tntpbl_tavg-l-hxy-x,tntpbl_tavg-l-hxy-u,False
tntpbl,area: point time: point,alevel site time1,tntpbl_tpt-l-hxys-x,tntpbl_tpt-l-hxys-u,False
tntc,area: time: mean,longitude latitude alevel time,tntc_tavg-l-hxy-x,tntc_tavg-l-hxy-u,False
tntc,longitude: time: mean where air,latitude plev39 time,tntc_tavg-p39-hy-air,tntc_tavg-p39-hy-air,True
tntc,area: point time: point,alevel site time1,tntc_tpt-l-hxys-x,tntc_tpt-l-hxys-u,False
zmtnt,longitude: time: mean where air,latitude plev39 time,zmtnt_tavg-p39-hy-air,zmtnt_tavg-p39-hy-air,True
tntd,area: time: mean,longitude latitude alevel time,tntd_tavg-l-hxy-x,tntd_tavg-l-hxy-u,False
tntd,area: point time: point,alevel site time1,tntd_tpt-l-hxys-x,tntd_tpt-l-hxys-u,False
tntnogw,longitude: time: mean where air,latitude plev39 time,tntnogw_tavg-p39-hy-air,tntnogw_tavg-p39-hy-air,True
tntogw,longitude: time: mean where air,latitude plev39 time,tntogw_tavg-p39-hy-air,tntogw_tavg-p39-hy-air,True
tntrl,area: time: mean,longitude latitude alevel time,tntrl_tavg-l-hxy-x,tntrl_tavg-l-hxy-u,False
tntrl,area: time: mean where air,longitude latitude plev27 time,tntrl_tavg-p27-hxy-air,tntrl_tavg-p27-hxy-air,True
tntrl,longitude: time: mean where air,latitude plev39 time,tntrl_tavg-p39-hy-air,tntrl_tavg-p39-hy-air,True
tntrl,area: point time: point,alevel site time1,tntrl_tpt-l-hxys-x,tntrl_tpt-l-hxys-u,False
tntrlcs,area: time: mean,longitude latitude alevel time,tntrlcs_tavg-l-hxy-x,tntrlcs_tavg-l-hxy-u,False
tntrlcs,longitude: time: mean where air,latitude plev39 time,tntrlcs_tavg-p39-hy-air,tntrlcs_tavg-p39-hy-air,True
tntrlcs,area: point time: point,alevel site time1,tntrlcs_tpt-l-hxys-x,tntrlcs_tpt-l-hxys-u,False
zmlwaero,longitude: mean time: point,latitude alevel time1,zmlwaero_tpt-l-hy-x,zmlwaero_tpt-l-hy-u,False
tntmp,area: time: mean,longitude latitude alevel time,tntmp_tavg-l-hxy-x,tntmp_tavg-l-hxy-u,False
tntmp,area: time: mean where air,longitude latitude plev27 time,tntmp_tavg-p27-hxy-air,tntmp_tavg-p27-hxy-air,True
tntmp,longitude: time: mean where air,latitude plev39 time,tntmp_tavg-p39-hy-air,tntmp_tavg-p39-hy-air,True
tntmp,area: point time: point,alevel site time1,tntmp_tpt-l-hxys-x,tntmp_tpt-l-hxys-u,False
tntr,area: mean where air time: point,longitude latitude plev27 time1,tntr_tpt-p27-hxy-air,tntr_tpt-p27-hxy-air,True
tntr,area: time: mean,longitude latitude alevel time,tntr_tavg-l-hxy-x,tntr_tavg-l-hxy-u,False
tntr,area: point time: point,alevel site time1,tntr_tpt-l-hxys-x,tntr_tpt-l-hxys-u,False
tntrs,area: time: mean,longitude latitude alevel time,tntrs_tavg-l-hxy-x,tntrs_tavg-l-hxy-u,False
tntrs,area: time: mean where air,longitude latitude plev27 time,tntrs_tavg-p27-hxy-air,tntrs_tavg-p27-hxy-air,True
tntrs,longitude: time: mean where air,latitude plev39 time,tntrs_tavg-p39-hy-air,tntrs_tavg-p39-hy-air,True
tntrs,area: point time: point,alevel site time1,tntrs_tpt-l-hxys-x,tntrs_tpt-l-hxys-u,False
tntrscs,area: time: mean,longitude latitude alevel time,tntrscs_tavg-l-hxy-x,tntrscs_tavg-l-hxy-u,False
tntrscs,longitude: time: mean where air,latitude plev39 time,tntrscs_tavg-p39-hy-air,tntrscs_tavg-p39-hy-air,True
tntrscs,area: point time: point,alevel site time1,tntrscs_tpt-l-hxys-x,tntrscs_tpt-l-hxys-u,False
zmswaero,longitude: mean time: point,latitude alevel time1,zmswaero_tpt-l-hy-x,zmswaero_tpt-l-hy-u,False
tntscp,area: time: mean,longitude latitude alevel time,tntscp_tavg-l-hxy-x,tntscp_tavg-l-hxy-u,False
tntscp,longitude: time: mean where air,latitude plev39 time,tntscp_tavg-p39-hy-air,tntscp_tavg-p39-hy-air,True
tntscp,area: point time: point,alevel site time1,tntscp_tpt-l-hxys-x,tntscp_tpt-l-hxys-u,False
tntscpbl,area: time: mean,longitude latitude alevel time,tntscpbl_tavg-l-hxy-x,tntscpbl_tavg-l-hxy-u,False
tntscpbl,area: point time: point,alevel site time1,tntscpbl_tpt-l-hxys-x,tntscpbl_tpt-l-hxys-u,False
eminh3,area: time: mean,longitude latitude time,eminh3_tavg-z0-hxy-x,eminh3_tavg-u-hxy-u,False
emibvoc,area: time: mean,longitude latitude time,emibvoc_tavg-z0-hxy-x,emibvoc_tavg-u-hxy-u,False
fco2antt,area: mean where land over all_area_types time: mean,longitude latitude time,fco2antt_tavg-z0-hxy-lnd,fco2antt_tavg-u-hxy-lnd,False
fco2antt,area: time: mean,longitude latitude time,fco2antt_tavg-z0-hxy-x,fco2antt_tavg-u-hxy-u,False
fco2antt,area: point time: point,site time1,fco2antt_tpt-z0-hxys-x,fco2antt_tpt-u-hxys-u,False
fProductDecomp,area: mean time: mean,longitude latitude time,fProductDecomp_tavg-z0-hxy-x,fProductDecomp_tavg-u-hxy-u,False
fProductDecomp,area: mean where sector over all_area_types time: mean,longitude latitude landUse time,fProductDecomp_tavg-z0-hxy-lus,fProductDecomp_tavg-u-hxy-lus,False
fco2fos,area: time: mean,longitude latitude time,fco2fos_tavg-z0-hxy-x,fco2fos_tavg-u-hxy-u,False
fco2fos,area: point time: point,site time1,fco2fos_tpt-z0-hxys-x,fco2fos_tpt-u-hxys-u,False
emiaco,area: time: mean,longitude latitude time,emiaco_tavg-z0-hxy-x,emiaco_tavg-u-hxy-u,False
emico,area: time: mean,longitude latitude time,emico_tavg-z0-hxy-x,emico_tavg-u-hxy-u,False
emidms,area: time: mean,longitude latitude time,emidms_tavg-z0-hxy-x,emidms_tavg-u-hxy-u,False
emidust,area: time: mean,longitude latitude time,emidust_tavg-z0-hxy-x,emidust_tavg-u-hxy-u,False
md,area: time: mean,longitude latitude alevel time,md_tavg-l-hxy-x,md_tavg-l-hxy-u,False
emibc,area: time: mean,longitude latitude time,emibc_tavg-z0-hxy-x,emibc_tavg-u-hxy-u,False
emiisop,area: time: mean,longitude latitude time,emiisop_tavg-z0-hxy-x,emiisop_tavg-u-hxy-u,False
fNAnthDisturb,area: mean where land over all_area_types time: mean,longitude latitude time,fNAnthDisturb_tavg-z0-hxy-lnd,fNAnthDisturb_tavg-u-hxy-lnd,False
emivoc,area: time: mean,longitude latitude time,emivoc_tavg-z0-hxy-x,emivoc_tavg-u-hxy-u,False
emianox,area: time: mean,longitude latitude time,emianox_tavg-z0-hxy-x,emianox_tavg-u-hxy-u,False
eminox,area: time: mean,longitude latitude time,eminox_tavg-z0-hxy-x,eminox_tavg-u-hxy-u,False
emiaoa,area: time: mean,longitude latitude time,emiaoa_tavg-z0-hxy-x,emiaoa_tavg-u-hxy-u,False
emioa,area: time: mean,longitude latitude time,emioa_tavg-z0-hxy-x,emioa_tavg-u-hxy-u,False
emiss,area: time: mean,longitude latitude time,emiss_tavg-z0-hxy-x,emiss_tavg-u-hxy-u,False
chepasoa,area: time: mean,longitude latitude time,chepasoa_tavg-z0-hxy-x,chepasoa_tavg-u-hxy-u,False
chepsoa,area: time: mean,longitude latitude time,chepsoa_tavg-z0-hxy-x,chepsoa_tavg-u-hxy-u,False
cheaqpso4,area: time: mean,longitude latitude alevel time,cheaqpso4_tavg-l-hxy-x,cheaqpso4_tavg-l-hxy-u,False
emiso4,area: time: mean,longitude latitude time,emiso4_tavg-z0-hxy-x,emiso4_tavg-u-hxy-u,False
chegpso4,area: time: mean,longitude latitude alevel time,chegpso4_tavg-l-hxy-x,chegpso4_tavg-l-hxy-u,False
emiso2,area: time: mean,longitude latitude time,emiso2_tavg-z0-hxy-x,emiso2_tavg-u-hxy-u,False
sblnosn,area: mean where land time: mean,longitude latitude time,sblnosn_tavg-z0-hxy-lnd,sblnosn_tavg-u-hxy-lnd,False
sbl,area: mean time: point,longitude latitude time1,sbl_tpt-z0-hxy-x,sbl_tpt-u-hxy-u,False
sbl,area: mean where land time: mean,longitude latitude time,sbl_tavg-z0-hxy-lnd,sbl_tavg-u-hxy-lnd,False
sbl,area: time: mean,longitude latitude time,sbl_tavg-z0-hxy-x,sbl_tavg-u-hxy-u,False
sbl,area: mean where land time: mean,longitude latitude time,sbl_tavg-z0-hxy-lnd,sbl_tavg-u-hxy-lnd,False
sbl,area: time: mean where ice_sheet,longitude latitude time,sbl_tavg-z0-hxy-is,sbl_tavg-u-hxy-is,False
sbl,area: time: mean where ice_sheet,longitude latitude time,sbl_tavg-z0-hxy-is,sbl_tavg-u-hxy-is,False
sbl,area: point time: point,site time1,sbl_tpt-z0-hxys-x,sbl_tpt-u-hxys-u,False
sbl,area: time: mean where ice_sheet,longitude latitude time,sbl_tavg-z0-hxy-is,sbl_tavg-u-hxy-is,False
sbl,area: time: mean where sea_ice,longitude latitude time,sbl_tavg-z0-hxy-si,sbl_tavg-u-hxy-si,False
lossco,area: time: mean,longitude latitude alevel time,lossco_tavg-l-hxy-x,lossco_tavg-l-hxy-u,False
lossch4,area: time: mean,longitude latitude alevel time,lossch4_tavg-l-hxy-x,lossch4_tavg-l-hxy-u,False
lossn2o,area: time: mean,longitude latitude alevel time,lossn2o_tavg-l-hxy-x,lossn2o_tavg-l-hxy-u,False
o3loss,area: time: mean,longitude latitude alevel time,o3loss_tavg-l-hxy-x,o3loss_tavg-l-hxy-u,False
o3prod,area: time: mean,longitude latitude alevel time,o3prod_tavg-l-hxy-x,o3prod_tavg-l-hxy-u,False
emilnox,area: time: mean,longitude latitude alevel time,emilnox_tavg-l-hxy-x,emilnox_tavg-l-hxy-u,False
utendvtem,longitude: time: mean where air,latitude plev39 time,utendvtem_tavg-p39-hy-air,utendvtem_tavg-p39-hy-air,True
utendwtem,longitude: time: mean where air,latitude plev39 time,utendwtem_tavg-p39-hy-air,utendwtem_tavg-p39-hy-air,True
utendepfd,longitude: time: mean where air,latitude plev39 time,utendepfd_tavg-p39-hy-air,utendepfd_tavg-p39-hy-air,True
utendepfd,longitude: time: mean where air,latitude plev39 time,utendepfd_tavg-p39-hy-air,utendepfd_tavg-p39-hy-air,True
utendnogw,area: mean where air time: point,longitude latitude plev27 time1,utendnogw_tpt-p27-hxy-air,utendnogw_tpt-p27-hxy-air,True
utendnogw,longitude: time: mean where air,latitude plev39 time,utendnogw_tavg-p39-hy-air,utendnogw_tavg-p39-hy-air,True
utendnogw,area: time: mean where air,longitude latitude plev19 time,utendnogw_tavg-p19-hxy-air,utendnogw_tavg-p19-hxy-air,True
utendnogw,longitude: time: mean where air,latitude plev39 time,utendnogw_tavg-p39-hy-air,utendnogw_tavg-p39-hy-air,True
diabdrag,area: time: mean where air,longitude latitude plev19 time,diabdrag_tavg-p19-hxy-air,diabdrag_tavg-p19-hxy-air,True
utendogw,longitude: time: mean where air,latitude plev39 time,utendogw_tavg-p39-hy-air,utendogw_tavg-p39-hy-air,True
utendogw,area: time: mean where air,longitude latitude plev19 time,utendogw_tavg-p19-hxy-air,utendogw_tavg-p19-hxy-air,True
tendlibmassbf,area: sum where ice_sheet time: mean, time,tendlibmassbf_tavg-z0-hm-is,tendlibmassbf_tavg-u-hm-is,False
tendlibmassbf,area: sum where ice_sheet time: mean, time,tendlibmassbf_tavg-z0-hm-is,tendlibmassbf_tavg-u-hm-is,False
tendlicalvf,area: sum where ice_sheet time: mean, time,tendlicalvf_tavg-z0-hm-is,tendlicalvf_tavg-u-hm-is,False
tendlicalvf,area: sum where ice_sheet time: mean, time,tendlicalvf_tavg-z0-hm-is,tendlicalvf_tavg-u-hm-is,False
tendacabf,area: sum where ice_sheet time: mean, time,tendacabf_tavg-z0-hm-is,tendacabf_tavg-u-hm-is,False
tendacabf,area: sum where ice_sheet time: mean, time,tendacabf_tavg-z0-hm-is,tendacabf_tavg-u-hm-is,False
parag,area: mean where sea time: mean,longitude latitude olevel time,parag_tavg-l-hxy-sea,parag_tavg-l-hxy-sea,True
darag,area: mean where sea time: mean,longitude latitude olevel time,darag_tavg-l-hxy-sea,darag_tavg-l-hxy-sea,True
pcalc,area: mean where sea time: mean,longitude latitude olevel time,pcalc_tavg-l-hxy-sea,pcalc_tavg-l-hxy-sea,True
dcalc,area: mean where sea time: mean,longitude latitude olevel time,dcalc_tavg-l-hxy-sea,dcalc_tavg-l-hxy-sea,True
bddtdic,area: mean where sea time: mean,longitude latitude olevel time,bddtdic_tavg-l-hxy-sea,bddtdic_tavg-l-hxy-sea,True
bddtdife,area: mean where sea time: mean,longitude latitude olevel time,bddtdife_tavg-l-hxy-sea,bddtdife_tavg-l-hxy-sea,True
bddtdin,area: mean where sea time: mean,longitude latitude olevel time,bddtdin_tavg-l-hxy-sea,bddtdin_tavg-l-hxy-sea,True
bddtdip,area: mean where sea time: mean,longitude latitude olevel time,bddtdip_tavg-l-hxy-sea,bddtdip_tavg-l-hxy-sea,True
bddtdisi,area: mean where sea time: mean,longitude latitude olevel time,bddtdisi_tavg-l-hxy-sea,bddtdisi_tavg-l-hxy-sea,True
fediss,area: mean where sea time: mean,longitude latitude olevel time,fediss_tavg-l-hxy-sea,fediss_tavg-l-hxy-sea,True
fescav,area: mean where sea time: mean,longitude latitude olevel time,fescav_tavg-l-hxy-sea,fescav_tavg-l-hxy-sea,True
pbfe,area: mean where sea time: mean,longitude latitude olevel time,pbfe_tavg-l-hxy-sea,pbfe_tavg-l-hxy-sea,True
